iter	RMSE
453	0.7155317263
454	0.7155299567
455	0.7155277569
456	0.7155256901
457	0.7155243249
458	0.7155207944
459	0.7155188133
460	0.7155163801
461	0.7155148472
462	0.7155125721
463	0.7155094172
464	0.7155067693
465	0.7155042689
466	0.7155021933
467	0.7154994143
468	0.7154964479
469	0.7154946247
470	0.7154925727
471	0.7154890038
472	0.7154876411
473	0.7154856699
474	0.7154829557
475	0.7154818878
476	0.7154796554
477	0.7154773849
478	0.715474569
479	0.7154717419
480	0.7154690629
481	0.7154672997
482	0.7154624959
483	0.7154599783
484	0.7154578037
485	0.7154564399
486	0.7154543799
487	0.7154511391
488	0.715448696
489	0.715445998
490	0.7154439093
491	0.7154426665
492	0.7154404789
493	0.7154381
494	0.7154345304
495	0.7154326015
496	0.7154315093
497	0.7154286047
498	0.7154271845
499	0.7154256514
500	0.7154212649
501	0.7154177583
502	0.7154166338
503	0.7154140334
504	0.7154096967
505	0.7154069289
506	0.7154046981
507	0.715402488
508	0.7153998977
509	0.7153982397
510	0.7153956844
511	0.7153927892
512	0.7153908482
513	0.7153894901
514	0.7153872281
515	0.715385349
516	0.7153833485
517	0.7153791749
518	0.7153753515
519	0.7153721058
520	0.7153691504
521	0.7153659163
522	0.71536397
523	0.7153580859
524	0.7153551533
525	0.7153520333
526	0.7153467258
527	0.7153429669
528	0.7153386753
529	0.7153364299
530	0.7153319232
531	0.71533039
532	0.7153254761
533	0.7153224913
534	0.7153195509
535	0.7153159552
536	0.7153109437
537	0.7153072724
538	0.7153015212
539	0.7152976918
540	0.7152925831
541	0.7152895652
542	0.7152838982
543	0.7152812124
544	0.7152786187
545	0.7152749691
546	0.7152704925
547	0.7152643612
548	0.7152597783
549	0.7152569986
550	0.7152533841
551	0.7152457065
552	0.7152420077
553	0.7152372798
554	0.7152336548
555	0.7152282159
556	0.7152251091
557	0.7152220054
558	0.7152194479
559	0.715216186
560	0.7152096282
561	0.7152066542
562	0.7152008869
563	0.7151920689
564	0.7151871138
565	0.7151832695
566	0.7151789136
567	0.7151758522
568	0.715169652
569	0.7151625676
570	0.7151546647
571	0.7151518478
572	0.7151482525
573	0.7151429442
574	0.7151389068
575	0.7151345535
576	0.7151310735
577	0.7151283015
578	0.7151230861
579	0.7151195497
580	0.7151147887
581	0.7151102515
582	0.7151056852
583	0.7150953084
584	0.7150876835
585	0.7150839251
586	0.7150780373
587	0.7150742678
588	0.7150699888
589	0.7150650654
590	0.715056083
591	0.7150493779
592	0.7150401059
593	0.7150363051
594	0.7150319258
595	0.7150244804
596	0.7150185903
597	0.7150133129
598	0.7150073468
599	0.7150040688
600	0.7149999142
601	0.7149943381
602	0.7149869936
603	0.7149843395
604	0.7149793494
605	0.7149753765
606	0.7149706312
607	0.7149667461
608	0.7149584968
609	0.7149554736
610	0.714949157
611	0.7149411161
612	0.714930421
613	0.7149268095
614	0.7149237486
615	0.7149174424
616	0.7149107053
617	0.7149054944
618	0.7149024851
619	0.7148934906
620	0.7148884899
621	0.7148823648
622	0.7148715238
623	0.7148666153
624	0.7148618144
625	0.7148566407
626	0.7148499198
627	0.7148451339
628	0.71483712
629	0.7148299228
630	0.714825415
631	0.7148185867
632	0.7148140033
633	0.7148066237
634	0.7147989882
635	0.7147919861
636	0.7147873298
637	0.7147776577
638	0.7147707551
639	0.7147629868
640	0.7147587008
641	0.7147494433
642	0.7147408888
643	0.7147322547
644	0.7147289601
645	0.7147235199
646	0.7147156473
647	0.7147104989
648	0.7147048235
649	0.7146986492
650	0.7146946305
651	0.7146875185
652	0.71468428
653	0.7146769969
654	0.7146730917
655	0.714668136
656	0.7146644022
657	0.7146570639
658	0.7146516053
659	0.7146423605
660	0.7146330329
661	0.7146254867
662	0.7146200291
663	0.714611281
664	0.7146034643
665	0.7145982811
666	0.7145915765
667	0.7145842791
668	0.7145779652
669	0.7145696583
670	0.7145588933
671	0.714554113
672	0.7145489226
673	0.714542261
674	0.714537459
675	0.7145336516
676	0.7145278261
677	0.7145227791
678	0.714516788
679	0.7145123815
680	0.7145067322
681	0.7145025321
682	0.714495816
683	0.7144929916
684	0.7144861294
685	0.7144752566
686	0.7144665596
687	0.7144608158
688	0.7144522268
689	0.7144475038
690	0.714440497
691	0.7144320475
692	0.7144231265
693	0.7144172223
694	0.7144121943
695	0.7144045559
696	0.7143998888
697	0.7143937142
698	0.7143876945
699	0.7143762348
700	0.7143671703
701	0.7143610577
702	0.7143577676
703	0.7143526524
704	0.7143480553
705	0.7143383455
706	0.7143328129
707	0.7143265109
708	0.7143203854
709	0.7143146147
710	0.7143085805
711	0.7143010741
712	0.7142925631
713	0.7142892612
714	0.7142832166
715	0.7142782426
716	0.7142738721
717	0.7142659313
718	0.7142579889
719	0.7142524171
720	0.7142496389
721	0.7142447463
722	0.7142333309
723	0.7142290982
724	0.7142202187
725	0.7142155091
726	0.7142124011
727	0.7142040729
728	0.7141962375
729	0.714191099
730	0.7141858312
731	0.7141803199
732	0.7141749224
733	0.7141705644
734	0.7141665505
735	0.7141583154
736	0.7141530099
737	0.7141445906
738	0.7141332008
739	0.7141270471
740	0.7141202927
741	0.7141125568
742	0.7141035524
743	0.7140975733
744	0.7140918821
745	0.7140847594
746	0.7140761382
747	0.7140679929
748	0.7140613398
749	0.7140571157
750	0.7140501687
751	0.714037976
752	0.7140290749
753	0.7140219049
754	0.7140177828
755	0.7140121051
756	0.7140073632
757	0.7139989249
758	0.7139914001
759	0.7139823253
760	0.7139786831
761	0.7139718813
762	0.7139682816
763	0.7139606762
764	0.7139533355
765	0.7139478565
766	0.7139383808
767	0.7139305083
768	0.7139247102
769	0.7139161926
770	0.7139058252
771	0.7139009214
772	0.7138953537
773	0.7138866896
774	0.7138839617
775	0.7138776129
776	0.7138742114
777	0.7138651975
778	0.7138571863
779	0.7138495703
780	0.7138459816
781	0.713840035
782	0.7138347145
783	0.7138303116
784	0.7138255619
785	0.7138203295
786	0.7138158911
787	0.7138115146
788	0.713805148
789	0.7138011349
790	0.7137949556
791	0.7137858572
792	0.7137783757
793	0.7137722352
794	0.7137681061
795	0.7137641151
796	0.7137593489
797	0.713749306
