iter	Passed	Remaining
606	16019	26206
607	16045	26179
608	16072	26154
609	16098	26126
610	16124	26100
611	16150	26072
612	16177	26048
613	16202	26018
614	16228	25991
615	16252	25961
616	16278	25934
617	16302	25905
618	16327	25876
619	16353	25849
620	16379	25821
621	16405	25794
622	16431	25767
623	16456	25739
624	16482	25712
625	16511	25689
626	16536	25661
627	16563	25636
628	16589	25609
629	16617	25585
630	16643	25558
631	16671	25534
632	16702	25515
633	16735	25499
634	16767	25481
635	16799	25463
636	16831	25445
637	16859	25422
638	16889	25400
639	16916	25374
640	16939	25343
641	16965	25315
642	16995	25295
643	17022	25269
644	17049	25244
645	17076	25217
646	17101	25189
647	17126	25160
648	17151	25132
649	17176	25104
650	17204	25079
651	17232	25056
652	17262	25034
653	17289	25009
654	17316	24983
655	17348	24964
656	17375	24939
657	17402	24913
658	17430	24889
659	17458	24865
660	17489	24844
661	17519	24823
662	17548	24800
663	17574	24773
664	17600	24746
665	17629	24723
666	17655	24697
667	17681	24669
668	17707	24642
669	17735	24618
670	17762	24592
671	17789	24566
672	17816	24540
673	17842	24513
674	17867	24485
675	17892	24456
676	17917	24428
677	17942	24399
678	17969	24373
679	17996	24348
680	18024	24323
681	18050	24296
682	18076	24270
683	18102	24242
684	18128	24215
685	18155	24189
686	18182	24164
687	18209	24137
688	18236	24112
689	18262	24084
690	18287	24057
691	18314	24030
692	18342	24006
693	18368	23979
694	18393	23951
695	18419	23923
696	18443	23894
697	18469	23867
698	18497	23842
699	18523	23815
700	18548	23787
701	18574	23761
702	18611	23747
703	18652	23740
704	18680	23714
705	18713	23696
706	18747	23679
707	18772	23651
708	18796	23621
709	18822	23594
710	18847	23566
711	18874	23540
712	18900	23513
713	18923	23482
714	18947	23452
715	18973	23425
716	18997	23395
717	19022	23367
718	19047	23338
719	19072	23310
720	19098	23284
721	19125	23257
722	19152	23232
723	19180	23206
724	19206	23180
725	19237	23159
726	19265	23134
727	19293	23109
728	19319	23082
729	19344	23054
730	19370	23026
731	19394	22998
732	19420	22970
733	19446	22943
734	19471	22915
735	19497	22888
736	19523	22861
737	19550	22834
738	19576	22808
739	19603	22781
740	19627	22752
741	19654	22726
742	19681	22701
743	19707	22673
744	19734	22647
745	19759	22620
