iter	Passed	Remaining
599	22357	37263
600	22394	37225
601	22429	37183
602	22462	37139
603	22497	37098
604	22530	37054
605	22568	37017
606	22605	36980
607	22638	36936
608	22673	36896
609	22711	36859
610	22746	36818
611	22778	36773
612	22810	36728
613	22846	36687
614	22881	36647
615	22916	36606
616	22949	36563
617	22987	36526
618	23020	36483
619	23056	36443
620	23091	36403
621	23130	36368
622	23165	36328
623	23203	36292
624	23236	36249
625	23271	36208
626	23306	36168
627	23344	36131
628	23379	36091
629	23418	36056
630	23454	36018
631	23491	35980
632	23525	35938
633	23558	35895
634	23591	35851
635	23628	35813
636	23663	35773
637	23697	35731
638	23733	35693
639	23765	35648
640	23801	35609
641	23835	35568
642	23871	35529
643	23905	35487
644	23939	35445
645	23975	35406
646	24011	35367
647	24046	35327
648	24081	35287
649	24115	35246
650	24151	35206
651	24185	35166
652	24219	35124
653	24256	35085
654	24290	35045
655	24324	35003
656	24359	34963
657	24392	34921
658	24429	34883
659	24462	34840
660	24499	34802
661	24533	34762
662	24571	34725
663	24607	34687
664	24643	34648
665	24676	34606
666	24713	34568
667	24747	34527
668	24786	34492
669	24820	34452
670	24853	34410
671	24889	34371
672	24924	34331
673	24960	34292
674	24996	34254
675	25032	34216
676	25068	34177
677	25103	34137
678	25139	34098
679	25174	34059
680	25209	34020
681	25247	33984
682	25283	33945
683	25317	33904
684	25353	33866
685	25387	33825
686	25422	33785
687	25461	33751
688	25496	33711
689	25533	33674
690	25570	33637
691	25605	33597
692	25639	33556
693	25674	33516
694	25707	33475
695	25742	33435
696	25779	33398
697	25813	33357
698	25850	33320
699	25885	33281
700	25921	33242
701	25958	33206
702	25994	33167
703	26031	33130
704	26065	33090
705	26101	33051
706	26137	33013
707	26171	32973
708	26207	32934
709	26242	32895
710	26279	32859
711	26315	32820
712	26349	32779
713	26383	32739
714	26419	32701
715	26456	32664
716	26492	32625
717	26526	32585
718	26562	32547
719	26594	32504
720	26628	32464
721	26661	32422
722	26695	32381
723	26732	32344
724	26766	32304
725	26801	32265
726	26838	32227
727	26872	32187
728	26905	32146
729	26942	32109
730	26976	32069
731	27009	32027
732	27043	31987
733	27080	31950
734	27117	31913
735	27152	31874
736	27188	31837
737	27223	31797
738	27258	31758
739	27293	31719
740	27329	31681
741	27364	31642
742	27401	31605
743	27436	31566
744	27472	31529
745	27508	31491
746	27542	31450
747	27578	31413
748	27612	31372
749	27649	31335
750	27685	31298
751	27722	31261
752	27756	31221
753	27792	31183
754	27828	31146
755	27867	31110
756	27898	31068
757	27932	31027
758	27970	30991
759	28007	30955
760	28043	30918
761	28078	30879
762	28114	30841
763	28148	30800
764	28185	30764
765	28219	30724
766	28253	30684
767	28291	30649
768	28324	30607
769	28360	30570
770	28397	30533
771	28431	30493
772	28469	30458
773	28505	30420
774	28540	30381
775	28575	30343
776	28611	30305
777	28648	30268
778	28683	30230
779	28720	30192
780	28756	30155
781	28794	30119
782	28832	30084
783	28866	30044
784	28903	30007
785	28937	29968
786	28974	29931
787	29008	29891
788	29043	29853
789	29078	29815
790	29113	29776
791	29151	29740
792	29187	29702
793	29220	29662
794	29255	29623
795	29291	29585
796	29324	29545
797	29359	29506
798	29393	29467
799	29430	29430
800	29465	29391
801	29501	29354
802	29539	29318
803	29574	29279
804	29608	29240
805	29647	29206
806	29681	29166
807	29715	29127
808	29748	29086
809	29783	29047
810	29817	29008
811	29855	28972
812	29889	28933
813	29927	28897
814	29960	28857
815	29995	28819
816	30031	28782
817	30069	28745
818	30105	28708
819	30141	28670
820	30177	28633
821	30214	28597
822	30250	28559
823	30287	28522
824	30323	28485
825	30360	28449
826	30396	28411
827	30429	28371
828	30462	28331
829	30498	28293
830	30535	28257
831	30574	28222
832	30610	28185
833	30647	28148
834	30681	28109
835	30719	28073
836	30753	28034
837	30789	27996
838	30823	27957
839	30859	27920
840	30896	27884
841	30932	27846
842	30967	27807
843	31002	27769
844	31038	27732
845	31072	27693
846	31107	27654
847	31148	27622
848	31184	27584
849	31219	27546
850	31257	27510
851	31292	27473
852	31329	27436
853	31368	27401
854	31403	27363
855	31442	27328
856	31478	27291
857	31519	27258
858	31560	27225
859	31598	27189
860	31633	27151
861	31667	27112
862	31705	27076
863	31742	27039
864	31775	27000
865	31811	26962
866	31844	26922
867	31880	26885
868	31916	26848
869	31950	26809
870	31987	26772
871	32022	26734
872	32058	26697
873	32097	26662
874	32132	26624
875	32167	26586
876	32205	26550
877	32242	26513
878	32277	26475
879	32313	26438
880	32350	26401
