iter	RMSE
267	0.7290606619
268	0.729040827
269	0.7290245507
270	0.729006135
271	0.7289864607
272	0.7289302676
273	0.7289139879
274	0.7288816334
275	0.728863391
276	0.7288305512
277	0.7288047168
278	0.7287590911
279	0.7287406485
280	0.7287011701
281	0.7286776193
282	0.7286541247
283	0.7286348034
284	0.7286030019
285	0.7285882625
286	0.7285718031
287	0.7285448795
288	0.7285286962
289	0.7285115467
290	0.7284956484
291	0.7284737921
292	0.7284615773
293	0.7284392873
294	0.7284210788
295	0.7284010679
296	0.7283816206
297	0.7283655453
298	0.7283386689
299	0.7283055512
300	0.7282881005
301	0.7282694422
302	0.728226825
303	0.7282109534
304	0.7281932514
305	0.7281603147
306	0.72814217
307	0.7281258352
308	0.7280871975
309	0.7280716316
310	0.7280555937
311	0.728041304
312	0.7280143079
313	0.7279997159
314	0.7279855204
315	0.7279506022
316	0.727934321
317	0.7279143847
318	0.727873019
319	0.7278600203
320	0.7278315684
321	0.7278134289
322	0.7277948076
323	0.7277741804
324	0.727745387
325	0.7277332186
326	0.7277167601
327	0.7276993281
328	0.727663226
329	0.7276446678
330	0.7276301093
331	0.7275932647
332	0.7275363493
333	0.7275238797
334	0.7275026333
335	0.7274536256
336	0.7274346107
337	0.7274179214
338	0.7274025758
339	0.7273792854
340	0.7273640207
341	0.7273488682
342	0.7273332527
343	0.7273208412
344	0.7273001518
345	0.7272877017
346	0.7272611061
347	0.7272482676
348	0.7272353915
349	0.7272191126
350	0.7271900365
351	0.7271685437
352	0.7271546213
353	0.7271406692
354	0.7271275884
355	0.7271086207
356	0.7270960202
357	0.7270639896
358	0.7270509068
359	0.7270346231
360	0.7270213389
361	0.726975578
362	0.72696398
363	0.7269505954
364	0.7269377556
365	0.7269165592
366	0.7268932876
367	0.726876848
368	0.7268522971
369	0.7268253256
370	0.7268113921
371	0.7267955228
372	0.7267757206
373	0.7267633949
374	0.7267202519
375	0.7266936588
376	0.726672068
377	0.7266407028
378	0.7266263703
379	0.7266001447
380	0.7265830038
381	0.7265684553
382	0.7265557005
383	0.7265438393
384	0.7265168145
385	0.7265014483
386	0.7264660747
387	0.7264419915
388	0.726429362
389	0.7264108927
390	0.7263805655
391	0.7263671458
392	0.7263552173
393	0.7263445427
394	0.7263235859
395	0.7262726894
396	0.7262571138
397	0.7262466086
398	0.7262258951
399	0.7261999208
400	0.7261869271
401	0.726170926
402	0.726151395
403	0.7261375951
404	0.7261246959
405	0.7261140646
406	0.7261012943
407	0.7260763408
408	0.7260562011
409	0.7260384361
410	0.7260213525
411	0.7260077115
412	0.7259885621
413	0.7259616143
414	0.7259478507
415	0.7258878611
416	0.7258579791
417	0.7258377811
418	0.7258226545
419	0.7257985553
420	0.7257782587
421	0.7257606725
422	0.7257426793
423	0.7257266702
424	0.725712904
425	0.7256969465
426	0.725685929
427	0.7256721305
428	0.7256549589
429	0.7256452531
430	0.7256246864
431	0.7256021625
432	0.7255947765
433	0.7255808289
434	0.725567197
435	0.7255326865
436	0.7255089043
437	0.725495726
438	0.7254699168
439	0.7254485658
440	0.7254338048
441	0.725412392
442	0.7253902552
443	0.7253747022
444	0.7253524295
445	0.7253314127
446	0.7253093114
447	0.7252863697
448	0.7252590792
449	0.7252425167
450	0.7252296199
451	0.725201467
452	0.7251911814
453	0.7251615818
454	0.7251396279
455	0.7251256455
456	0.7250989897
457	0.7250860943
458	0.7250583144
459	0.7250462442
460	0.7250342075
461	0.7250171358
462	0.7249983513
463	0.7249681054
464	0.72494949
465	0.7249230753
466	0.7248989638
467	0.7248811543
468	0.7248523707
469	0.7248317961
470	0.7248090268
471	0.7247833864
472	0.7247533163
473	0.724735383
474	0.7246930716
475	0.7246652707
476	0.7246478775
477	0.7246267512
478	0.7245969321
479	0.7245746969
480	0.7245561899
481	0.7245459994
482	0.7245307716
483	0.724508238
484	0.7244943547
485	0.7244728375
486	0.724458409
487	0.7244297572
488	0.7244109934
489	0.7243817763
490	0.7243650547
491	0.7243481969
492	0.7243264088
493	0.7243073027
494	0.724294117
495	0.7242576125
496	0.7242415612
497	0.724225246
498	0.7241991751
499	0.7241873276
500	0.7241629241
501	0.7241250349
502	0.7241096181
503	0.7240992019
504	0.724077986
505	0.7240470477
506	0.7240342977
507	0.7240227121
508	0.7239956299
509	0.7239682505
510	0.7239511281
511	0.7239281168
512	0.7239151398
513	0.7238915187
514	0.7238762412
515	0.7238471257
516	0.7238361843
517	0.72380725
518	0.7237940237
519	0.7237797843
520	0.7237585385
521	0.7237256713
522	0.7236950787
523	0.7236659012
524	0.7236505195
525	0.7236372219
526	0.7236091149
527	0.7235972536
528	0.7235706874
529	0.7235412705
530	0.7235231415
531	0.7235034905
532	0.7234746276
533	0.7234412576
534	0.7234125382
535	0.7233682881
536	0.7233493295
537	0.7233309252
538	0.7233052184
539	0.7232785512
540	0.7232486894
541	0.723226111
542	0.7232056789
543	0.7231870329
544	0.7231655047
545	0.7231385936
546	0.7231064516
547	0.7230719807
548	0.7230379696
549	0.7230031862
550	0.7229808128
551	0.7229542393
552	0.7229340577
553	0.7229044088
554	0.7228705922
555	0.7228160103
556	0.7227765126
557	0.7227397973
558	0.7226983651
559	0.7226762279
560	0.7226547597
561	0.7226283155
562	0.7226119963
563	0.722583898
564	0.7225666221
565	0.722507826
566	0.722484423
567	0.7224433546
568	0.7223981904
569	0.7223801394
570	0.7223611899
571	0.7223356588
572	0.7223080319
573	0.7222664385
574	0.7222425133
575	0.722196311
576	0.7221658458
577	0.7221256932
578	0.7220886624
579	0.7220609846
580	0.722036384
581	0.7220156463
582	0.7219756907
583	0.7219585162
584	0.7219440839
585	0.7219149863
586	0.7218918436
587	0.7218769046
588	0.7218375388
589	0.7218041548
590	0.7217547001
591	0.7217289178
592	0.7216998262
593	0.721666602
594	0.7216286324
595	0.7215977162
596	0.7215613286
597	0.72151945
598	0.7214885794
599	0.7214642019
600	0.7214356591
601	0.7214040382
602	0.7213799696
603	0.7213469115
604	0.721318803
605	0.7212803773
606	0.7212544358
607	0.7212353165
608	0.7212020458
609	0.7211346125
610	0.7210956157
611	0.7210725101
612	0.7210542812
613	0.721028858
614	0.721011949
615	0.7209885551
616	0.7209678901
617	0.7209288241
618	0.7209010841
619	0.7208733906
620	0.7208505283
621	0.7208185675
622	0.7207938925
623	0.7207613764
624	0.7207343005
625	0.7207094113
626	0.7206756941
627	0.7206444444
628	0.7206242972
629	0.7205897611
630	0.7205551875
631	0.7205198665
632	0.7205050347
633	0.7204871213
634	0.7204630162
635	0.7204027004
636	0.7203760538
637	0.7203525293
638	0.7203183259
639	0.720290955
640	0.720261801
641	0.7202324678
642	0.7202051001
643	0.7201645609
644	0.7201432289
645	0.7201136963
646	0.7200812514
647	0.7200461802
648	0.7200233441
649	0.7199966826
650	0.7199617825
651	0.7199375234
652	0.7199195355
653	0.7198572932
654	0.7198261339
655	0.7198029902
656	0.7197705543
657	0.7197538697
658	0.7197194668
659	0.7196938534
660	0.7196652947
661	0.7196365354
662	0.7196040557
663	0.7195747469
664	0.7195318161
665	0.7195081066
666	0.7194893488
667	0.7194588025
668	0.7194093181
669	0.7193782884
670	0.7193504355
671	0.7193119292
672	0.7192926201
673	0.7192604667
674	0.7192316295
